import time: self [us] | cumulative | imported package
import time:       136 |        136 |   _io
import time:        22 |         22 |   marshal
import time:       156 |        156 |   posix
import time:       532 |        844 | _frozen_importlib_external
import time:      3047 |       3047 |   time
import time:       167 |       3214 | zipimport
import time:        41 |         41 |     _codecs
import time:       432 |        473 |   codecs
import time:      1990 |       1990 |   encodings.aliases
import time:      1874 |       4336 | encodings
import time:       683 |        683 | encodings.utf_8
import time:        70 |         70 | _signal
import time:        65 |         65 |     _abc
import time:       778 |        843 |   abc
import time:       123 |        965 | io
import time:        29 |         29 |       _stat
import time:        58 |         87 |     stat
import time:       531 |        531 |     _collections_abc
import time:        36 |         36 |       errno
import time:        53 |         53 |       genericpath
import time:        89 |        177 |     posixpath
import time:       326 |       1119 |   os
import time:        53 |         53 |   _sitebuiltins
import time:       399 |        399 |   sitecustomize
import time:      1644 |       3215 | site
import time:       471 |        471 | linecache
import time:      1432 |       1432 |         __future__
import time:       153 |        153 |                   itertools
import time:       468 |        468 |                   keyword
import time:       119 |        119 |                     _operator
import time:      1237 |       1356 |                   operator
import time:       752 |        752 |                   reprlib
import time:       104 |        104 |                   _collections
import time:      1806 |       4637 |                 collections
import time:        54 |         54 |                 _functools
import time:      1146 |       5836 |               functools
import time:       587 |        587 |               types
import time:      2143 |       8565 |             enum
import time:        82 |         82 |               _sre
import time:       625 |        625 |                 re._constants
import time:       813 |       1437 |               re._parser
import time:       458 |        458 |               re._casefix
import time:       827 |       2802 |             re._compiler
import time:       476 |        476 |             copyreg
import time:      1250 |      13092 |           re
import time:      1402 |       1402 |             textwrap
import time:       753 |        753 |             warnings
import time:      1174 |       1174 |             contextlib
import time:       537 |        537 |             _colorize
import time:      1509 |       5374 |           traceback
import time:       534 |        534 |             _weakrefset
import time:       784 |       1317 |           weakref
import time:        37 |         37 |             _string
import time:       853 |        890 |           string
import time:       934 |        934 |           threading
import time:        34 |         34 |           atexit
import time:      2511 |      24148 |         logging
import time:        32 |         32 |           _typing
import time:      2392 |       2424 |         typing
import time:   3223959 |    3251962 |       streamlit.logger
import time:      1009 |       1009 |         copy
import time:      1844 |       1844 |               _json
import time:      1096 |       2940 |             json.scanner
import time:      1803 |       4742 |           json.decoder
import time:      1234 |       1234 |           json.encoder
import time:       966 |       6942 |         json
import time:      1061 |       1061 |               _struct
import time:       457 |       1518 |             struct
import time:      2702 |       2702 |             binascii
import time:      1447 |       5666 |           base64
import time:     17252 |      17252 |             _hashlib
import time:      1895 |       1895 |               _blake2
import time:      1590 |       3485 |             hashlib
import time:       495 |      21230 |           hmac
import time:      1546 |       1546 |             math
import time:      1756 |       1756 |               _bisect
